,地址,店名
188,新北市蘆洲區長榮路8號2樓,TOYWORLD：蘆洲佳瑪周邊商品販售中
189,新北市蘆洲區長榮路8號3樓,老虎歡樂世界：蘆洲佳瑪
190,新北市蘆洲區中正路117號,春大地周邊商品販售中
191,新北市蘆洲區長樂路2之6號1樓,統一超商：蘆興
192,新北市蘆洲區中原路13號,龍天地文具批發廣場周邊商品販售中
193,新北市蘆洲區民族路26號1樓,薪友文具行周邊商品販售中
194,新北市蘆洲區重陽街92號1樓,統一超商：陽州
195,新北市新店區三民路69號,小獅王文具店周邊商品販售中
196,新北市新店區二十張路5號1樓,統一超商：二十張
197,新北市新店區中正路688.690號,統一超商：正鵬
198,新北市新店區安康路2段350-3號,統一超商：安峰
199,新北市新店區安德街70.72號1+2樓,統一超商：安康
200,新北市新店區安民街335.337號1樓,統一超商：統和
201,新北市新店區光明街140號,統一超商：新明
202,新北市新店區中興路1段289號,統一超商：鎮鑫
203,新北市新店區北宜路一段16號2樓,老虎歡樂世界：碧潭廣場
204,新北市新店區北宜路一段16號2樓L2-008櫃,TOYWORLD：新店碧潭
205,新北市新店區順安街51.53號,統一超商：新順安
206,新北市新店區建國路268號3樓,老虎歡樂世界：新店店
207,新北市新店區玫瑰路58巷4號B1,統一超商：玫瑰
208,新北市新店區三民路35巷2號,統一超商：美河
209,新北市新店區安康路1段168號1樓,統一超商：百豐
210,新北市新店區安康路1段168號1樓,統一超商：百豐
211,新北市土城區延和路197號,禾麥環球（197生活館）周邊商品販售中
212,新北市土城區中央路二段61巷11號,玩具e哥：土城日月光店周邊商品販售中
213,新北市土城區青雲路152號,統一超商：佳福
214,新北市土城區承天路1號,統一超商：承天
215,新北市土城區興城路96巷4號,統一超商：信利
216,新北市土城區中央路一段88號1樓,統一超商：皇翔
217,新北市土城區立德路105號1樓,玩具e哥：土城立德
218,新北市三重區三民街175巷28號1樓,亞利文具行周邊商品販售中
219,新北市三重區五華街282號,家樂福：蘆洲店
220,新北市三重區中正北路25巷17號1樓,康郁商行周邊商品販售中
221,新北市三重區下竹圍街26號,統一超商：下竹圍
222,新北市三重區三信路196號,統一超商：重樂
223,新北市三重區福德南路38號1樓,統一超商：環德
224,新北市三重區中正北路193巷45號,愛買：三重店
225,新北市三重區永安北路二段15號,統一超商：樂林
226,新北市三重區三陽路62號64號,統一超商：新陽
227,新北市三重區自強路一段73號2樓,老虎歡樂世界：三重佳瑪
228,新北市三重區重新路五段654號1樓,玩具e哥：家福重新店
229,新北市三重區自強路四段102號104號1樓,統一超商：三好
230,新北市三重區自強路一段73號2樓,TOYWORLD：三重佳瑪
231,新北市三重區龍門路6-1號1樓,玩具e哥：三重介壽店
232,新北市三重區福田里三民街274號1樓,統一超商：三田
233,新北市三重區龍濱路51號1樓,統一超商：福濱
234,新北市三重區力行路1段60之1號60之2號1樓,統一超商：立福
235,新北市鶯歌區建國路152號,金玉堂：鶯歌店周邊商品販售中
236,新北市鶯歌區鶯桃路432號,統一超商：長虹
237,新北市三峽區溪東路300號,統一超商：岩昇
238,新北市三峽區民生街25號,統一超商：萬誠
239,新北市瑞芳區民生街23號,統一超商：瑞信
240,新北市八里區中山路二段151號153號1樓,統一超商：西雅圖
241,新北市深坑區北深路三段145號,統一超商：元坊
242,新北市泰山區全興路165號,統一超商：福興
243,基隆市中正區義二路12號,全家樂玩具店周邊商品販售中
244,基隆市信義區深溪路53號B1,老虎歡樂世界：基隆愛買
245,基隆市信義區深溪路43號45號1樓,統一超商：新福樂
246,基隆市安樂區樂利二街62巷291號,統一超商：樂添
247,基隆市安樂區中和路166之5號,統一超商：新和慶
248,基隆市仁愛區仁一路281號1樓,統一超商：愛六
249,基隆市暖暖區源遠路158.160號,統一超商：碇內
250,基隆市暖暖區源遠路158、160號,統一超商：碇內
251,桃園市中壢區中園路二段501號2樓,FUNBOX：大江周邊商品販售中
252,桃園市中壢區春德路189號1樓(140櫃位）,FUNBOX：華泰名品城周邊商品販售中
253,桃園市中壢區中園路二段501號4樓,GSE：大江店
254,桃園市中壢區中園路二段501號4樓,TOYWORLD：大江店周邊商品販售中
255,桃園市中壢區中正路51號4樓,TOYWORLD：中壢中正店
256,桃園市中壢區實踐路81號,玩具e哥：桃園中原店
257,桃園市中壢區中華路二段501號2樓,玩具反斗城：中壢家樂福
258,桃園市中壢區中山東路二段510號,家樂福：中壢店
259,桃園市中壢區中華路一段450號,家樂福：內壢店
260,桃園市中壢區元化路357號8樓,其曜玩具：中壢SOGO周邊商品販售中
261,桃園市中壢區龍岡路三段192號194號196號1樓,統一超商：成龍
262,桃園市中壢區高鐵站前西路二段96號1樓,統一超商：青禾
263,桃園市中壢區新生路738號740號742號1樓,統一超商：笙園
264,桃園市中壢區莊敬路141號,統一超商：富莊
265,桃園市中壢區中北路二段468號46櫃,玩具e哥：中壢大潤發周邊商品販售中
266,桃園市中壢區高鐵南路二段352號4樓,TOYWORLD：桃園環球
267,桃園市中壢區中正路51號4樓,老虎歡樂世界：中壢中正店
268,桃園市中壢區領航北路2段60號,統一超商：青航
269,桃園市中壢區領航北路二段208號,統一超商：塘園
270,桃園市中壢區中美路39號1樓,統一超商：壢美
271,桃園市中壢區新興路124號1樓,統一超商：驛光
272,桃園市中壢區元化路307號1樓,統一超商：海帝
273,桃園市中壢區福州一街102號1樓,統一超商：福州一
274,桃園市中壢區福州二街392號1樓,統一超商：新福街
275,桃園市中壢區榮安十三街297號1樓及榮安十四街2號1樓,統一超商：榮安
276,桃園市中壢區民族路6段232號1樓,統一超商：豐亞
277,桃園市中壢區福州二街392號1樓,統一超商：新福街
278,桃園市桃園區中正路19號8樓,FUNBOX：桃園站前新光
279,桃園市桃園區中正路20號6樓,FUNBOX：桃園遠東
280,桃園市桃園區春日路618-1號B1,TOYWORLD：桃園春日周邊商品販售中
281,桃園市桃園區中華路43號2樓,一刻館周邊商品販售中
282,桃園市桃園區經國路369號B1,家樂福：經國店
283,桃園市桃園區莊敬路一段175號177號1樓,統一超商：新莊伯
284,桃園市桃園區中山路939號,愛買：桃園店
285,桃園市桃園區大有路189號5樓,鼎美玩具：桃園大有新光
286,桃園市桃園區寶山街280號1樓,統一超商：寶山街
287,桃園市桃園區健行路88號,統一超商：健業
288,桃園市桃園區北埔路36號2樓,玩具e哥：桃園北埔店
289,桃園市桃園區同德六街1號,統一超商：千藝
290,桃園市桃園區正光路425號1樓427號1樓,統一超商：福倉
291,桃園市桃園區建國路41-1號1樓,統一超商：尊品
292,桃園市桃園區春日路618號B1,老虎歡樂世界：春日店
293,桃園市桃園區溫州一路302號306號1樓2樓,統一超商：合禾
294,桃園市桃園區中正路61號B1,TOYWORLD：桃園統領
295,桃園市蘆竹區南崁路一段112號4樓,TOYWORLD：桃園台茂周邊商品販售中
296,桃園市蘆竹區南山路一段2-5號,老虎歡樂世界：南崁店
297,桃園市蘆竹區南山路一段2-5號,玩具e哥：桃園南山店周邊商品販售中
298,桃園市蘆竹區中正路1號5樓,玩具e哥：桃園南崁
299,桃園市蘆竹區大福路189號,統一超商：亮亞
300,桃園市蘆竹區南順六街22號24號,統一超商：順舜
301,桃園市蘆竹區仁愛路一段464之1號,統一超商：蘆愛
302,桃園市蘆竹區中山路152、154、156號1樓,統一超商：蘆山
303,桃園市楊梅區大成路99號3樓,TOYWORLD：楊梅大成店周邊商品販售中
304,桃園市楊梅區大成路99號3樓,老虎歡樂世界：楊梅佳瑪
305,桃園市楊梅區梅高路二段136巷5號,統一超商：高尚
306,桃園市楊梅區中山北路二段23巷6號,愛買：楊梅店
307,桃園市楊梅區環東路484號,新興模型玩具商行周邊商品販售中
308,桃園市楊梅區三民北路177號,統一超商：楊民
309,桃園市楊梅區三民北路88號1樓,統一超商：三沅
310,桃園市楊梅區永美路385-9號1樓2樓,統一超商：永誠
311,桃園市楊梅區梅獅路一段158號1樓,玩巨帝國：桃園店
312,桃園市龍潭區中正路106號2樓,TOYWORLD：龍潭佳瑪周邊商品販售中
313,桃園市龍潭區中正路106號2樓,老虎歡樂世界：龍潭佳瑪
314,桃園市龍潭區民族路168號170號172號1樓,統一超商：新龍鄉
315,桃園市龍潭區中正路331號,玩樂多：龍潭店
316,桃園市龜山區新興里自強南路75號及77號,金玉堂：龜山店周邊商品販售中
317,桃園市龜山區忠義路二段630號,統一超商：忠湖
318,桃園市龜山區萬壽路二段353號1樓,統一超商：茶專
319,桃園市龜山區文青路206號208號210號1樓,統一超商：富亨
320,桃園市龜山區萬壽路1段307.309號1樓,統一超商：萬龍
321,桃園市龜山區文化三路386號1樓,統一超商：廣華
322,桃園市龜山區文化二路28-1號28-2號28-3號1,統一超商：鑫華夏
323,桃園市龜山區萬壽路一段282號,金玉堂：迴龍店周邊商品販售中
324,桃園市龜山區光峰路221號,統一超商：常楓
325,桃園市龜山區大同路212號1樓,統一超商：同銘
326,桃園市龜山區文化二路20之1號1樓,TOYWORLD：龜山文化
327,桃園市八德區介壽路一段728號,家樂福：八德店
328,桃園市八德區東勇北路380號,統一超商：勇伯
329,桃園市八德區東勇街396-1號,統一超商：湧北
